"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Odkaz</a>"
"An error occurred while opening file: ""%s"".","Vyskytla sa chyba pri otváraní súboru: ""%s""."
"Could not load file: ""%s"".","Nie je možné nahrať súbor: ""%s""."
"Could not save file: %s.","Nie je možné uložiť súbor: %s."
"Declared adapter %s was not found.","Zvolený adaptér %s nenájdený."
"Destination folder ""%s"" is not a directory.","Cieľová zložka ""%s"" nie je adresár."
"Destination folder ""%s"" is not writable.","Cieľová zložka ""%s"" nie je zapisovateľná."
"Done","Dokončené"
"Dry run set, stopping execution.","Skúška na nečisto, zastaviť realizáciu."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Chyba mapovania poľa! Zoznam mapovaných polí nie je definovaný."
"File ""%s"" does not exist.","Súbor ""%s"" neexistuje."
"Found %d rows.","Nájdených riadkov: %d."
"Less than a minute","Menej ako minúta"
"Loaded successfully: ""%s"".","Úspešne načítané: ""%s""."
"Memory Used: %s","Využitie pamäte: %s"
"Method ""%s"" not defined in adapter %s.","Metóda ""%s"" nie je definovaná v adaptéri %s."
"Method ""%s"" was not defined in adapter %s.","Metóda ""%s"" nie je definovaná v adaptéri %s."
"Please declare ""adapter"" and ""method"" nodes first.","Prosím najprv deklarujte ""adaptér"" a ""metódu"" uzla."
"Processed records: %s","Spracované záznamy: %s"
"Saved successfully: ""%s"" [%d byte(s)].","Úspešne uložené: ""%s"" [%d byte(s)]"
"Sheet 1","Hárok 1"
"Skip undefined row.","Preskočiť nedefinované riadky."
"Starting %s :: %s","Začiatok %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Cieľový adresár ""%s"" neexistuje alebo nie je prístupný pre vytvorenie."
"Total records: %s","Celkový počet záznamov: %s"
"hour","hodina"
"hours","hodiny"
"minute","minúta"
"minutes","minúty"
"Access denied to destination folder ""%s"".","Prístup do cieľovej zložky ""%s"" bol odopretý."
"#~ ""Destination folder ""%s"" does not exist or there is no access to create it.""","Cieľová zložka ""%s"" neexistuje alebo nie je prístup k vytvoreniu."
