"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D overenie platobnej karty"
"API Login ID","API ID prihlásenia"
"Accepted Currency","Povolené meny"
"Allow Partial Authorization",""
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.",""
"Authorize Only","Iba oprávnení"
"Authorize and Capture","Autorizovať a prijať"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Zrušiť"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Typy kreditných kariet"
"Credit Card Verification","Overenie kreditnej karty"
"Credit Card: xxxx-%s","Kreditná Karta: xxxx-%s"
"Debug","Ladenie"
"Email Customer","E-mail zákazníka"
"Enabled","Povolené"
"Error in payment gateway.","Chyba v platobnej bráne."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).",""
"Gateway error: %s","Chyba brány: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.",""
"Invalid amount for authorization.","Chybné množstvo pre autorizáciu."
"Invalid amount for capture.",""
"Invalid amount for partial authorization.","Chybné množstvo pre autorizáciu."
"Invalid amount for refund.",""
"Invalid split tenderId ID.",""
"Maximum Order Total","Maximálna objednávka"
"Merchant's Email","E-mail obchodníka"
"Minimum Order Total","Minimálna objednávka"
"New Order Status","Nový stav objednávky"
"Payment Action","Platobná operácia"
"Payment authorization error.","Chyba pri autorizácii platby."
"Payment canceling error.",""
"Payment capturing error.",""
"Payment from Applicable Countries","Platba z akceptovaných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Payment partial authorization error.","Chyba pri autorizácii platby."
"Payment refunding error.","Vrátenie platby zlyhalo."
"Payment updating error.","Aktualizácia platby zlyhala."
"Payment voiding error.",""
"Processed Amount",""
"Remaining Balance",""
"Severe 3D Secure Card Validation",""
"Severe Validation Removes Chargeback Liability on Merchant",""
"Shopping cart contents and/or address has been changed.",""
"Sort Order","Poradie objednávok"
"Test Mode","Testovací režim"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.",""
"There was an error canceling transactions. Please contact us or try again later.",""
"Title","Nadpis"
"Transaction Key","Kľúč transakcie"
"You have reached the maximum number of credit card allowed to be used for the payment.",""
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.",""
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.",""
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.",""
"Your payment has been cancelled. All authorized amounts have been released.",""
"amount %s","suma %s"
"authorize","schváliť"
"authorize and capture","Autorizovať a prijať"
"capture",""
"failed",""
"refund",""
"successful",""
"void",""
"Error in capturing the payment.","Chyba pri príjme platby"
"Error in refunding the payment.","Chyba pri spätnej platbe."
"Invalid transaction ID.","Chybné ID transakcie."
"Payment authorization transaction has been declined.","Autorizovaná platba bola zamietnutá."
