"Collected Files Count","Počet zozbieraných súborov"
"Compilation","Kompilácia"
"Compilation State","Stav kompilácie"
"Compilation error","Chyba kompilácie"
"Compiled","Skompilované"
"Compiled Scopes Count","Počet skompilovaných oblastí"
"Compiler Status","Stav kompilátoru"
"Compiler include path is disabled.","Vnorené cesty zakázané."
"Compiler include path is enabled.","Vnorené cesty povolené."
"Directory ""%s"" must be writeable","Adresár ""%s"" musí byť zapisovateľný"
"Disable","Zakázať"
"Disabled","Zakázané"
"Enable","Povoliť"
"Enabled","Povolené"
"File ""%s"" must be writeable","Súbor ""%s"" musí byť zapisovateľný"
"Not Compiled","Neskompilovaný"
"Run Compilation Process","Spustiť kompiláciu"
"Scopes Compilation Settings","Nastavenie oblastí kompilácie"
"System","Systém"
"The compilation has completed.","Kompilácia úspešne dokončená."
"Tools","Nástroje"
