"ALL","VŠETKO"
"ANY","ĽUBOVOĽNÝ"
"Add","Pridať"
"Apply","Použiť"
"Conditions Combination","Kombinácia podmienok"
"Description: %s","Popis: %s"
"End Date should be greater than Start Date","Koncový dátum musí byť vyšší ako počiatočný dátum."
"Expire at: %s","Vyprší: %s"
"FALSE","NEPRAVDA"
"If %s of these conditions are %s:","Ak sú %s z týchto podmienok %s:"
"Invalid discount amount.","Chybná množstevná zľava"
"MATCHING ALL","OBSAHUJE VŠETKO"
"MATCHING ANY","OBSAHUJE NEJAKÉ"
"NOT MATCHING ALL","NEOBSAHUJE VŠETKO"
"NOT MATCHING ANY","NEOBSAHUJE ŽIADNE"
"Name: %s","Názov: %s"
"Open Chooser","Kto si vyberá"
"Perform following actions","Vykonajte nasledujúce operácie"
"Please choose a condition to add...","Vyberte prosím podmienku na pridanie..."
"Please choose an action to add...","Vyberte prosím akciu na pridanie..."
"Remove","Odstrániť"
"Start at: %s","Začiatok: %s"
"TRUE","PRAVDA"
"by","od"
"contains","obsahuje"
"does not contain","neobsahuje"
"equals or greater than","rovné alebo väčšie ako"
"equals or less than","rovné alebo menšie ako"
"greater than","väčšie ako"
"is","je"
"is not","nie je"
"is not one of","nie je z"
"is one of","jeden z"
"less than","menšie ako"
"to","do"
