"Inactive pages","Neaktivní stránky"
"Sorry, this product is no longer available.","Omlouváme se, tento produkt již není k dispozici."
"You may be interested in the following categories:","Možná by Vás mohly zajímat následující kategorie:"
"Sorry, this category is no longer available.","Omlouváme se, tato kategorie již není k dispozici."
"Show links to product categories","Zobrazit odkazy na kategorie produktu"
"Show links to product categories on an inactive product page","Zobrazit odkazy na kategorie na stránce neaktivního produktu"
"Show inactive category pages","Zobrazit stránky neaktivních kategorií"
"Show inactive product pages","Zobrazit stránky neaktivních produktů"
