"Zebu Vertical Menu","Zebu Vertikální Menu"
"Show Vertical Menu","Zobrazit vertikální menu"
"Show All Items","Zobrazit všechny položky."
"if it is set to ""Yes"" then the ""Include In Vertical Menu"" attribute will be ignored","Pokud je nastaveno na ""Ano"", pak atribut ""Include In Vertical Menu"" bude ignorován"
"Expanded category tree","Rozbalený strom kategorií"
"if it is set to ""No"" then only the current category's children will be visible","Pokud je nastaveno na ""Ne"", pak se zobrazují podkategorie jen aktuální kategorie"
"Use jQuery tree view","Použít jQuery tree view"
"if it is set to ""Yes"" then You can open category tree nodes without refresh. For correct functionality is necessary to set ""Expanded category tree"" to ""Yes"".","Pokud je nastaveno na ""Ano"", pak můžete rozbalovat kategorie bez znovunačtení stránky. Pro správnou funkci je nutné nastavit ""Rozbalený strom kategorií"" na ""Ano""."
"Exclude empty categories","Vyloučit prázdné kategorie" 
"Categories without any products will not be shown in the vertical menu.","Kategorie bez produktů nebudou ve vertikálním menu zobrazeny."
