"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","Cenové pravidlá košíka založené na zmazanej vlastnosti ""%s"" boli zakázané."
"Actions","Akcie"
"Active","Aktívne"
"Add New Rule","Pridať nové pravidlo"
"Apply","Použiť"
"Apply To","Použiť na"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použiť pravidlo iba v prípade zhody nasledujúcich podmienok (nechajte prázdne pre všetky produkty)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Použiť pravidlo iba ak položky v košíku spĺňajú nasledujúce podmienky (nechajte prázdne pre všetky položky)"
"Apply the rule to cart items matching the following conditions","Použiť pravidlo iba ak položky v košíku spĺňajú nasledujúce podmienky"
"Apply to Shipping Amount","Použiť na sumu prepravy"
"Auto","Automaticky"
"Buy X get Y free (discount amount is Y)","Kúpte X a získate Y zdarma (zľavnené množstvo je Y)"
"By Fixed Amount","Podľa pevnej čiastky"
"By Fixed value","Podľa pevnej hodnoty"
"By Percentage","Percentuálne"
"By Percentage of the Original Price","Percentuálne z pôvodnej ceny"
"Can't acquire coupon.","Nemožno získať kupón."
"Cart Attribute","Vlastnosti košíka"
"Catalog","Katalóg"
"Conditions","Podmienky"
"Conditions combination","Kombinácia podmienok"
"Coupon","Kupón"
"Coupon Code","Kód kupónu"
"Customer Groups","Zákaznicke skupiny"
"Customer is new buyer: %s","Zákazník je nový nákupca: %s"
"Customer registered: %s","Zákazník registrovaný: %s"
"Date Expire","Dátum vypršania"
"Date Start","Počiatočný dátum"
"Default Label","Predvolená menovka"
"Default Rule Label for All Store Views","Predvolená menovka pravidla pre všetky obchody"
"Delete Rule","Zmazať pravidlo"
"Description","Popis"
"Description: %s","Popis: %s"
"Discount Amount","Množstevná zľava"
"Discount Qty Step (Buy X)","Množstevná zľava Krok (Kúpte X)"
"Edit Rule","Editovať pravidlo"
"Edit Rule '%s'","Editovať pravidlo '%s'"
"Expire at: %s","Vyprší: %s"
"FOUND",""
"Fixed amount discount","Pevná množstevná zľava"
"Fixed amount discount for whole cart","Pevná množstevná zľava pre celý košík"
"For matching items only","Iba pre zodpovedajúce položky"
"For shipment with matching items","Pre doručenie so zodpovedajúcimi položkami"
"Free Shipping","Doručenie zdarma"
"From Date","Od dátumu"
"General Information","Všeobecné informácie"
"ID","ID"
"Inactive","Neaktívne"
"Item totals are not set for rule.",""
"Labels","Menovky"
"Maximum Qty Discount is Applied To","Maximálna množstevná zľava je použitá na"
"NOT FOUND",""
"NOT LOGGED IN","NEPRIHLÁSENÝ"
"Name: %s","Meno: %s"
"New Rule","Nové pravidlo"
"No","Nie"
"No Coupon","Bez kupónu"
"Number of Uses","Počet použití"
"Payment Method","Spôsob platby"
"Percent of product price discount","Percentuálna zľava z ceny produktu"
"Period","Obdobie"
"Price in cart","Cena v košíku"
"Priority","Priorita"
"Product attribute combination","Kombinácia vlastností produktu"
"Products subselection","Podvýber produktov"
"Promotions","Propagácie"
"Public In RSS Feed","Uverejniť na RSS kanáli"
"Quantity in cart","Množstvo v košíku"
"Row total in cart","Celkom riadkov v košíku"
"Rule Information","Informácie o pravidle"
"Rule Name","Názov pravidla"
"Sales Discount Amount","Obchodná výška zľavy"
"Sales Subtotal Amount","Obchodné množstvo - medzisúčet"
"Sales Total Amount","Obchodné množstvo - celkovo"
"Save Rule","Uložiť pravidlo"
"Save and Continue Edit","Uložiť a pokračovať v úpravách"
"Shipping Country","Krajina doručenia"
"Shipping Method","Spôsob doručenia"
"Shipping Postcode","PSČ doručenia"
"Shipping Region","Kraj doručenia"
"Shipping State/Province","Štát/Kraj doručenia"
"Shopping Cart Price Rule","Cenové pravidlo košíka"
"Shopping Cart Price Rules","Cenové pravidlá košíka"
"Special Price","Špeciálna cena"
"Specific Coupon","Špecifický kupón"
"Start at: %s","Začiatok: %s"
"Status","Stav"
"Stop Further Rules Processing","Zastaviť spracovane ďalších pravidiel"
"Store View Specific Labels","Zobraziť špecifické menovky pre obchod"
"Subtotal","Medzisúčet"
"Subtotal Amount","Medzisúčet sumy"
"The rule has been deleted.","Pravidlo bolo úspešne odstránené."
"The rule has been saved.","Pravidlo bolo úspešne uložené."
"This rule no longer exists.","Toto pravidlo už neexistuje"
"To Date","K dnešnému dňu"
"To Fixed Amount","Pre pevné množstvo"
"To Fixed Value","Pre pevnú hodnotu"
"To Percentage","Percentuálne"
"To Percentage of the Original Price","Percentuálne z pôvodnej ceny"
"Total","Celkom"
"Total Amount","Celková suma"
"Total Items Quantity","Celkové množstvo položiek"
"Total Weight","Celková hmotnosť"
"Unable to find a rule to delete.","Nenájdené pravidlo k zmazaniu."
"Update Prices Using the Following Information","Aktualizovať cenu s použitím nasledujúcich informácií"
"Update prices using the following information","Aktualizovať cenu s použitím nasledujúcich informácií"
"Update product's %s %s: %s","Aktualizovať produkty %s %s: %s"
"Update the Product","Aktualizovať produkt"
"Uses per Coupon","Použitie na kupóne"
"Uses per Customer","Použítie na zákazníka"
"Wrong rule specified.","Nesprávne stanovené pravidlo."
"Yes","Áno"
